name;categories;lat;lng;subcity;Unnamed: 0;City
Sushi Miyabi;Sushi Restaurant;52.48713535160029;13.322618868340347;Wilmersdorf, Berlin;;Berlin
AssaTir;Falafel Restaurant;52.489430904904644;13.32280384030698;Wilmersdorf, Berlin;;Berlin
Aral;Gas Station;52.48427111;13.32072707;Wilmersdorf, Berlin;;Berlin
Salumeria Veneto;Italian Restaurant;52.4894177089186;13.319841167621243;Wilmersdorf, Berlin;;Berlin
Pho Bay;Vietnamese Restaurant;52.486507612424795;13.323098165029881;Wilmersdorf, Berlin;;Berlin
Boulderworx;Climbing Gym;52.486880553428776;13.318214828154574;Wilmersdorf, Berlin;;Berlin
Tulum;Mexican Restaurant;52.4830587748448;13.320454716849785;Wilmersdorf, Berlin;;Berlin
Hotel-Pension Gasteiner Hof;Hotel;52.48731670631572;13.323412853587275;Wilmersdorf, Berlin;;Berlin
Lidl;Supermarket;52.48676769999999;13.3249204;Wilmersdorf, Berlin;;Berlin
Thoben's Backwaren;Bakery;52.48663242642978;13.32377125447118;Wilmersdorf, Berlin;;Berlin
Max & Moritz;Doner Restaurant;52.48670680811843;13.3225238633973;Wilmersdorf, Berlin;;Berlin
Ibis Berlin City West;Hotel;52.48911863352239;13.316606958228705;Wilmersdorf, Berlin;;Berlin
Bäcker Wiedemann;Bakery;52.48635687467388;13.320957389696972;Wilmersdorf, Berlin;;Berlin
Spielbrett;Toy / Game Store;52.4863821868586;13.321963375162207;Wilmersdorf, Berlin;;Berlin
Galeb-Grill;Eastern European Restaurant;52.486429878997825;13.320120925230624;Wilmersdorf, Berlin;;Berlin
Uhland-Eck;Bar;52.486541592643604;13.322584305934102;Wilmersdorf, Berlin;;Berlin
